id,created_at,name,owner,type,brand,price,img,description
1,2026-02-02 06:46:25.297495+00,Project Boomstik Elongated 16mm,James,Power,Selkirk,49.99,https://equipment.usapickleball.org/wp-content/uploads/gravity_forms/3-5de8eadaf7093339da5f27db90d828ef/2025/07/Boomstik-Elongated-16mm.png,"The Selkirk Labs Project Boomstik Raw Carbon Elongated 16mm is an advanced, power-focused paddle designed to increase ball exit speed by up to 14% without sacrificing durability. It features the BoomCore system, combining a PureFoam core with an EVA Power Ring for maximum pop, along with the MOI Tuning System to increase stability on off-center hits. "
2,2026-02-02 06:53:08.894274+00,Hyperion IV 16mm,Andy,Power,Joola,39.99,https://cdn.sanity.io/images/jvolei4i/production/67c26de0a0b02d0fb68d301cf892acc0fde0336e-4032x3024.jpg,"The JOOLA Hyperion Pro IV is a high-performance, UPA-A certified pickleball paddle (14mm/16mm) featuring an aerodynamic head shape for increased swing speed. It utilizes Tech Flex Power (TFP) and a Propulsion Core for a balance of power, spin, and a larger, forgiving sweet spot. It offers more power than the Perseus IV and is designed for competitive, offensive players. "
3,2026-02-02 06:56:29.359159+00,Pro Ultimate Power 14mm Elongated,James,Power,Gearbox,29.99,https://cdn.sanity.io/images/jvolei4i/production/9bcc0ad70b025c9e8f1dac928cd95677c7c299b1-4025x3019.jpg,"The New PRO Ultimate Power 14mm is engineered to elevate your game, delivering explosive power, pinpoint accuracy, and ultimate control—all while meeting the new 2025 PBCoR and USAP Quiet Category standards. Whether you’re crushing winners or executing delicate resets, this paddle gives you the winning edge without compromising on performance."
4,2026-02-02 07:12:05.720483+00,R1 Nova,Andy,Control,Ronbus,29.99,https://www.ronbus.com/assets/product_review_files/241216779_image.jpg,"The Ronbus R1 Nova is an elongated (16.5"" x 7.5""), 16mm thermoformed paddle designed for elite control and high spin with a ""soft"" feel. It acts as a hybrid between traditional Gen 2 paddles and control paddles, offering a plush response, exceptional maneuverability (roughly 7.8 oz), and high-end spin. "
5,2026-02-02 07:14:06.386106+00,Scorpeus 16mm,Dwight,Control,Joola,39.99,https://cdn.shopify.com/s/files/1/2344/9529/articles/DSC_9714.jpg?v=1690343409,"The JOOLA Scorpeus 16mm Pro IV pickleball paddle is a high-performance, widebody paddle designed for control and stability, featuring a 16mm thick core and a 8-inch width for a large sweet spot. It is engineered with Technical Flex Power (TFP) technology and a Propulson Core for added power, making it ideal for defensive players who want to dominate fast-paced net exchanges. "
6,2026-02-02 07:16:45.006338+00,Ruby,Dwight,Control,Six Zero,59.99,https://cdn.sanity.io/images/jvolei4i/production/04a3aedf88f615774f8b18b0ab59d2ecfc999b72-4032x3024.jpg,"Unlock your potential on the court with the Six Zero Ruby Pickleball Paddle, the hottest paddle for spin in today's market. Engineered with groundbreaking technology and materials, this paddle is designed for players who demand exceptional control and unbeatable spin."
7,2026-02-02 07:20:00.792671+00,Wukong,Andy,Balanced,Juciao,29.99,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9lI9QRahdNhFpHz6Kdmu4MwxMfpFUhPnMxA&s,"The Juciao WUKONG Pro is a high-performance, USAPA-approved 16mm pickleball paddle designed for advanced players, featuring a hybrid Kevlar-carbon fiber unibody construction. It is known for its excellent spin, control, and, thanks to the thermoformed, edge-to-edge design, a strong, durable, and rough surface. "
8,2026-02-02 07:21:13.471535+00,Pro Cannon,James,Balanced,Luzz,29.99,https://luzzpickleball.com/cdn/shop/files/1_18b2cedc-db37-46a0-92f8-52360eeb4361.jpg?v=1765962118&width=990,"Fueled by groundbreaking inner core technology featuring an innovative U-shaped carbon fiber matrix structure that progressively layers kinetic energy, the Cannon delivers unmatched explosive force and lossless energy conduction. Your smashes explode like cannonballs, decisively overwhelming your opponents."
,,Elite X 16mm Elongated Jimmy Liong Edition,,Balanced,Facolos,39.99,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_v-3d1lCartHBqoubgcusd9UQ9g7iZ2x3WA&s,"As an upgraded version of the old Elite product line, the Elite X brings a completely new look, greatly improved compared to the old version. The face is rougher, the power assist core is more and the sweet spot area is also expanded."
,,Avatar Pro Quang Duong Edition,,Power,Sypik,49.99,https://cdn.store-assets.com/s/1337006/i/90708867.png?width=1024&format=webp,"Sypik Avatar pickleball is a combination of Sypik and world No. 6 Quang Duong. With the support of research and development by Mr. Quang Duc, Sypik Avatar for Quang Duong's strong attacking style, this will be a racquet with an all-out attacking inclination"
,,14mm RESERVE TKO-X,,Control,Paddletek,39.99,https://cdn.store-assets.com/s/1337006/i/98720816.jpeg?width=1024&format=webp,"The Paddletek RESERVE TKO-X is a next-generation, all-foam, elongated pickleball paddle designed for elite power, spin, and refined control. Featuring Aero Hybrid Plus shaping and a 5.75"" handle, this paddle evolves from the TKO-CX."
